Source_Station_Name,Average_Trains_Per_Day
PANDHARPUR,0.42857142857142855
PURNEA JN.,0.42857142857142855
PARLI VAIJNATH,0.42857142857142855
DHARMANAGAR,0.42857142857142855
RAICHUR,0.42857142857142855
DINDIGUL JN,0.42857142857142855
DIMAPUR,0.42857142857142855
HANSDIHA,0.42857142857142855
BIRAUL,0.42857142857142855
BODHAN,0.42857142857142855
HAJIPUR JN.,0.42857142857142855
BAMANHAT,0.42857142857142855
BHANJPUR,0.42857142857142855
RAMANAGARAM,0.42857142857142855
BARHNI,0.42857142857142855
BARUI PARA,0.42857142857142855
RAJIM,0.42857142857142855
RANGAPARA NORTH,0.42857142857142855
RAMTEK,0.42857142857142855
NAGORE,0.42857142857142855
RENIGUNTA JN.,0.42857142857142855
MIRAJ JN.,0.42857142857142855
MIRYALAGUDA,0.42857142857142855
NANDYAL,0.42857142857142855
NAHARLAGUN,0.42857142857142855
BANGRIPOSI,0.42857142857142855
BHADRACHALAM ROAD,0.42857142857142855
BANDIKUI JN.,0.42857142857142855
SARDARSAHAR,0.42857142857142855
SHAHGANJ JN.,0.42857142857142855
SAWANTWADI ROAD,0.42857142857142855
SASARAM,0.42857142857142855
BAGNAN,0.42857142857142855
BAIYYAPPANAHALLI,0.42857142857142855
COONOOR,0.42857142857142855
CHOPAN,0.42857142857142855
CHURU,0.42857142857142855
EDAMANN,0.42857142857142855
KANPUR ANWARGANJ,0.42857142857142855
DHRANGADHRA,0.42857142857142855
DHURI JN.,0.42857142857142855
CHHINWARA JN,0.42857142857142855
PALANI,0.42857142857142855
PALANPUR JN,0.42857142857142855
PALGHAT TOWN,0.42857142857142855
TITLA GARH JN.,0.42857142857142855
VELLORE CANTT,0.42857142857142855
DELHI-SAFDAR JANG,0.42857142857142855
DHAMTARI,0.42857142857142855
GAJRAULA JN.,0.42857142857142855
AMBLIYASAN JN.,0.42857142857142855
BURHWAL JN.,0.2857142857142857
BOTAD,0.2857142857142857
DAKOR,0.2857142857142857
DANKAUR,0.2857142857142857
KABAKA PUTTUR,0.2857142857142857
